 "y",    "x",   "data"
 87.86,  0.00,  0.00,
 87.86,  2.81,  0.00,
 87.86,  5.62,  0.00,
 87.86,  8.44,  0.00,
 87.86, 11.25,  0.00,
 87.86, 14.06,  0.00,
 87.86, 16.88,  0.00,
 87.86, 19.69,  0.00,
 87.86, 22.50,  0.00,
 87.86, 25.31,  0.00,
 87.86, 28.12,  0.00,
 87.86, 30.94,  0.00,
 87.86, 33.75,  0.00,
 87.86, 36.56,  0.00,
 87.86, 39.38,  0.00,
 87.86, 42.19,  0.00,
 87.86, 45.00,  0.00,
 87.86, 47.81,  0.00,
 87.86, 50.62,  0.00,
 87.86, 53.44,  0.00,
 87.86, 56.25,  0.00,
 87.86, 59.06,  0.00,
 87.86, 61.88,  0.00,
 87.86, 64.69,  0.00,
 87.86, 67.50,  0.00,
 87.86, 70.31,  0.00,
 87.86, 73.12,  0.00,
 87.86, 75.94,  0.00,
 87.86, 78.75,  0.00,
 87.86, 81.56,  0.00,
 87.86, 84.38,  0.00,
 87.86, 87.19,  0.00,
 87.86, 90.00,  0.00,
 87.86, 92.81,  0.00,
 87.86, 95.62,  0.00,
 87.86, 98.44,  0.00,
 87.86,101.25,  0.00,
 87.86,104.06,  0.00,
 87.86,106.88,  0.00,
 87.86,109.69,  0.00,
 87.86,112.50,  0.00,
 87.86,115.31,  0.00,
 87.86,118.12,  0.00,
 87.86,120.94,  0.00,
 87.86,123.75,  0.00,
 87.86,126.56,  0.00,
 87.86,129.38,  0.00,
 87.86,132.19,  0.00,
 87.86,135.00,  0.00,
 87.86,137.81,  0.00,
 87.86,140.62,  0.00,
 87.86,143.44,  0.00,
 87.86,146.25,  0.00,
 87.86,149.06,  0.00,
 87.86,151.88,  0.00,
 87.86,154.69,  0.00,
 87.86,157.50,  0.00,
 87.86,160.31,  0.00,
 87.86,163.12,  0.00,
 87.86,165.94,  0.00,
 87.86,168.75,  0.00,
 87.86,171.56,  0.00,
 87.86,174.38,  0.00,
 87.86,177.19,  0.00,
 87.86,180.00,  0.00,
 87.86,182.81,  0.00,
 87.86,185.62,  0.00,
 87.86,188.44,  0.00,
 87.86,191.25,  0.00,
 87.86,194.06,  0.00,
 87.86,196.88,  0.00,
 87.86,199.69,  0.00,
 87.86,202.50,  0.00,
 87.86,205.31,  0.00,
 87.86,208.12,  0.00,
 87.86,210.94,  0.00,
 87.86,213.75,  0.00,
 87.86,216.56,  0.00,
 87.86,219.38,  0.00,
 87.86,222.19,  0.00,
 87.86,225.00,  0.00,
 87.86,227.81,  0.00,
 87.86,230.62,  0.00,
 87.86,233.44,  0.00,
 87.86,236.25,  0.00,
 87.86,239.06,  0.00,
 87.86,241.88,  0.00,
 87.86,244.69,  0.00,
 87.86,247.50,  0.00,
 87.86,250.31,  0.00,
 87.86,253.12,  0.00,
 87.86,255.94,  0.00,
 87.86,258.75,  0.00,
 87.86,261.56,  0.00,
 87.86,264.38,  0.00,
 87.86,267.19,  0.00,
 87.86,270.00,  0.00,
 87.86,272.81,  0.00,
 87.86,275.62,  0.00,
 87.86,278.44,  0.00,
 87.86,281.25,  0.00,
 87.86,284.06,  0.00,
 87.86,286.88,  0.00,
 87.86,289.69,  0.00,
 87.86,292.50,  0.00,
 87.86,295.31,  0.00,
 87.86,298.12,  0.00,
 87.86,300.94,  0.00,
 87.86,303.75,  0.00,
 87.86,306.56,  0.00,
 87.86,309.38,  0.00,
 87.86,312.19,  0.00,
 87.86,315.00,  0.00,
 87.86,317.81,  0.00,
 87.86,320.62,  0.00,
 87.86,323.44,  0.00,
 87.86,326.25,  0.00,
 87.86,329.06,  0.00,
 87.86,331.88,  0.00,
 87.86,334.69,  0.00,
 87.86,337.50,  0.00,
 87.86,340.31,  0.00,
 87.86,343.12,  0.00,
 87.86,345.94,  0.00,
 87.86,348.75,  0.00,
 87.86,351.56,  0.00,
 87.86,354.38,  0.00,
 87.86,357.19,  0.00,
 85.10,  0.00,  0.00,
 85.10,  2.81,  0.00,
 85.10,  5.62,  0.00,
 85.10,  8.44,  0.00,
 85.10, 11.25,  0.00,
 85.10, 14.06,  0.00,
 85.10, 16.88,  0.00,
 85.10, 19.69,  0.00,
 85.10, 22.50,  0.00,
 85.10, 25.31,  0.00,
 85.10, 28.12,  0.00,
 85.10, 30.94,  0.00,
 85.10, 33.75,  0.00,
 85.10, 36.56,  0.00,
 85.10, 39.38,  0.00,
 85.10, 42.19,  0.00,
 85.10, 45.00,  0.00,
 85.10, 47.81,  0.00,
 85.10, 50.62,  0.00,
 85.10, 53.44,  0.00,
 85.10, 56.25,  0.00,
 85.10, 59.06,  0.00,
 85.10, 61.88,  0.00,
 85.10, 64.69,  0.00,
 85.10, 67.50,  0.00,
 85.10, 70.31,  0.00,
 85.10, 73.12,  0.00,
 85.10, 75.94,  0.00,
 85.10, 78.75,  0.00,
 85.10, 81.56,  0.00,
 85.10, 84.38,  0.00,
 85.10, 87.19,  0.00,
 85.10, 90.00,  0.00,
 85.10, 92.81,  0.00,
 85.10, 95.62,  0.00,
 85.10, 98.44,  0.00,
 85.10,101.25,  0.00,
 85.10,104.06,  0.00,
 85.10,106.88,  0.00,
 85.10,109.69,  0.00,
 85.10,112.50,  0.00,
 85.10,115.31,  0.00,
 85.10,118.12,  0.00,
 85.10,120.94,  0.00,
 85.10,123.75,  0.00,
 85.10,126.56,  0.00,
 85.10,129.38,  0.00,
 85.10,132.19,  0.00,
 85.10,135.00,  0.00,
 85.10,137.81,  0.00,
 85.10,140.62,  0.00,
 85.10,143.44,  0.00,
 85.10,146.25,  0.00,
 85.10,149.06,  0.00,
 85.10,151.88,  0.00,
 85.10,154.69,  0.00,
 85.10,157.50,  0.00,
 85.10,160.31,  0.00,
 85.10,163.12,  0.00,
 85.10,165.94,  0.00,
 85.10,168.75,  0.00,
 85.10,171.56,  0.00,
 85.10,174.38,  0.00,
 85.10,177.19,  0.00,
 85.10,180.00,  0.00,
 85.10,182.81,  0.00,
 85.10,185.62,  0.00,
 85.10,188.44,  0.00,
 85.10,191.25,  0.00,
 85.10,194.06,  0.00,
 85.10,196.88,  0.00,
 85.10,199.69,  0.00,
 85.10,202.50,  0.00,
 85.10,205.31,  0.00,
 85.10,208.12,  0.00,
 85.10,210.94,  0.00,
 85.10,213.75,  0.00,
 85.10,216.56,  0.00,
 85.10,219.38,  0.00,
 85.10,222.19,  0.00,
 85.10,225.00,  0.00,
 85.10,227.81,  0.00,
 85.10,230.62,  0.00,
 85.10,233.44,  0.00,
 85.10,236.25,  0.00,
 85.10,239.06,  0.00,
 85.10,241.88,  0.00,
 85.10,244.69,  0.00,
 85.10,247.50,  0.00,
